Tweet_ID,User_Name,Mentioned_User_Name,Author_Of_Original_Tweet,created_at,Location,Followers_Count,Following_Count,Listed_Count,Reply_Count,Quote_Count,Favourites_Count,Statuses_Count,Verified,Account_Creation_Date,Retweet_Count,In_Reply_to_user,Type_of_Tweet,Source,Text
1.35727E+18,bowds86,['GM'],GM,Thu Feb 04 10:24:24 +0000 2021,"Perth, Australia",168,1316,1,0,0,2042,621,FALSE,Tue Dec 14 07:29:17 +0000 2010,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,steph_salguero,['GM'],GM,Thu Feb 04 10:23:33 +0000 2021,London,122,250,4,0,0,59,215,FALSE,Mon Mar 16 22:26:05 +0000 2009,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,GeorgeBender68,['GM'],GM,Thu Feb 04 10:23:29 +0000 2021,New Zealand,1774,2363,25,0,0,33390,11665,FALSE,Tue Oct 27 05:07:31 +0000 2015,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,ArtukkaJ,['GM'],GM,Thu Feb 04 10:22:34 +0000 2021,,15,112,0,0,0,1093,95,FALSE,Tue Jan 09 20:43:53 +0000 2018,0,,Retweet,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,jameskanaley,['GM'],GM,Thu Feb 04 10:19:19 +0000 2021,"Griffith, New South Wales ",1569,1186,20,0,0,2821,1217,FALSE,Fri May 25 11:28:22 +0000 2012,0,,Retweet,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,henry_vs_pippa,['GM'],GM,Thu Feb 04 10:17:08 +0000 2021,,38,354,0,0,0,25725,1345,FALSE,Fri Sep 14 12:25:37 +0000 2018,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,CameraDan75,['simonahac'],GM,Thu Feb 04 10:16:34 +0000 2021,"Kaurna land, Adelaide, SA",540,892,3,0,0,89286,6586,FALSE,Tue Feb 08 11:20:18 +0000 2011,0,,Quote,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @simonahac: ok, this move to electric vehicles? it's moving much faster* than you think. #EVerybodyIn 

*elsewhere

[there goes the week…"
1.35727E+18,smonev,['GM'],GM,Thu Feb 04 10:14:44 +0000 2021,"Plovdiv, Bulgaria",283,257,15,0,0,766,2934,FALSE,Tue Apr 01 11:54:23 +0000 2008,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,HenrikHindby,['GM'],GM,Thu Feb 04 10:11:49 +0000 2021,Denmark,3453,1151,84,0,0,53385,50742,FALSE,Fri Jun 21 16:30:51 +0000 2013,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,ReturnOfBlues,['GM'],GM,Thu Feb 04 10:09:52 +0000 2021,,350,482,1,0,0,48744,49323,FALSE,Wed Mar 16 07:16:41 +0000 2011,0,,Retweet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
1.35727E+18,crimes_lawyer,['GM'],GM,Thu Feb 04 10:06:20 +0000 2021,Москва,303,2009,5,0,0,824,764,FALSE,Mon Nov 05 11:05:09 +0000 2012,0,,Retweet,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @GM: Norway is crushing us at EVs. That’s crazy. We have to do better. Are you in? #EVerybodyIn #NoWayNorway https://t.co/QH8kXRd4rp
